中心,校区,区域,地址,经度,纬度,坐标系
大冲,大冲,宝安南山区,,,,
宝安中心区旗舰文学,宝安中心区旗舰,宝安南山区,,,,
宝安中心区旗舰科学,宝安中心区旗舰,宝安南山区,,,,
宝安沙井西荟,宝安沙井西荟,宝安南山区,,,,
桃源文学,桃源,宝安南山区,,,,
桃源科学,桃源,宝安南山区,,,,
沙井天悦荟,沙井天悦荟,宝安南山区,,,,
现代城文学,现代城,宝安南山区,,,,
现代城科学,现代城,宝安南山区,,,,
西城上筑,西城上筑,宝安南山区,,,,
东海城市广场文学,东海城市广场,福田区,,,,
东海城市广场科学,东海城市广场,福田区,,,,
百花文学,百花,福田区,,,,
百花科学,百花,福田区,,,,
石厦文学,石厦,福田区,,,,
石厦科学,石厦,福田区,,,,
莲花北文学,莲花北,福田区,,,,
莲花北科学,莲花北,福田区,,,,
金色家园,金色家园,福田区,,,,
大芬东大街,大芬东大街,罗湖龙岗区,,,,
翠竹文学,翠竹,罗湖龙岗区,,,,
翠竹科学,翠竹,罗湖龙岗区,,,,
龙岗中心,龙岗中心,罗湖龙岗区,,,,
龙岗玫瑰郡,龙岗玫瑰郡,罗湖龙岗区,,,,
上塘ATMALL科学,上塘ATMALL,龙华区,,,,
民治世纪春城文学,民治世纪春城,龙华区,,,,
民治世纪春城科学,民治世纪春城,龙华区,,,,
红山站文学,红山站,龙华区,,,,
红山站科学,红山站,龙华区,,,,
龙华站,龙华站,龙华区,,,,
